graph_id,node_id,label,train_mask,val_mask,test_mask,feat_feature_00,feat_feature_01,feat_feature_02,feat_feature_03,feat_feature_04,X,Y,Z
0,110,0,True,False,False,1.0,0.0,0.0,0.0,0.0,32.5,-2.5,1.5
0,111,0,True,False,False,0.0,0.0,0.0,1.0,0.0,27.5,29.0,33.0
0,112,0,True,False,False,1.0,0.0,0.0,0.0,0.0,27.5,32.5,4.5
0,113,0,True,False,False,1.0,0.0,0.0,0.0,0.0,47.5,22.5,1.5
0,114,0,True,False,False,1.0,0.0,0.0,0.0,0.0,47.5,-2.5,1.5
0,115,0,True,False,False,1.0,0.0,0.0,0.0,0.0,47.5,27.5,4.5
0,116,0,True,False,False,1.0,0.0,0.0,0.0,0.0,7.5,32.5,4.5
0,117,0,True,False,False,1.0,0.0,0.0,0.0,0.0,17.5,22.5,4.5
0,118,0,True,False,False,0.0,1.0,0.0,0.0,0.0,12.5,17.5,9.0
0,119,0,True,False,False,1.0,0.0,0.0,0.0,0.0,17.5,-2.5,4.5
0,120,0,True,False,False,1.0,0.0,0.0,0.0,0.0,47.5,22.5,4.5
0,121,0,True,False,False,1.0,0.0,0.0,0.0,0.0,17.5,7.5,1.5
0,122,0,True,False,False,0.0,0.0,0.0,1.0,0.0,42.0,15.5,21.0
0,123,0,True,False,False,1.0,0.0,0.0,0.0,0.0,17.5,12.5,1.5
0,124,0,True,False,False,1.0,0.0,0.0,0.0,0.0,12.5,7.5,4.5
0,125,0,True,False,False,1.0,0.0,0.0,0.0,0.0,2.5,7.5,4.5
0,126,0,True,False,False,1.0,0.0,0.0,0.0,0.0,2.5,32.5,4.5
0,127,0,True,False,False,1.0,0.0,0.0,0.0,0.0,47.5,-2.5,4.5
0,128,0,True,False,False,1.0,0.0,0.0,0.0,0.0,12.5,32.5,1.5
0,129,0,True,False,False,1.0,0.0,0.0,0.0,0.0,42.5,12.5,1.5
0,130,0,True,False,False,1.0,0.0,0.0,0.0,0.0,42.5,7.5,4.5
0,131,0,True,False,False,1.0,0.0,0.0,0.0,0.0,22.5,7.5,4.5
0,132,0,True,False,False,1.0,0.0,0.0,0.0,0.0,32.5,27.5,4.5
0,133,0,True,False,False,0.0,0.0,0.0,1.0,0.0,17.5,24.0,27.0
0,134,0,True,False,False,0.0,0.0,0.0,1.0,0.0,42.0,15.5,33.0
0,135,0,True,False,False,1.0,0.0,0.0,0.0,0.0,12.5,-2.5,4.5
0,136,0,True,False,False,1.0,0.0,0.0,0.0,0.0,47.5,17.5,4.5
0,137,0,True,False,False,0.0,0.0,0.0,1.0,0.0,12.5,19.0,15.0
0,138,0,True,False,False,1.0,0.0,0.0,0.0,0.0,12.5,32.5,4.5
0,139,0,True,False,False,1.0,0.0,0.0,0.0,0.0,22.5,12.5,1.5
0,140,0,True,False,False,1.0,0.0,0.0,0.0,0.0,32.5,-2.5,4.5
0,141,0,True,False,False,0.0,0.0,0.0,1.0,0.0,40.5,4.0,33.0
0,142,0,True,False,False,1.0,0.0,0.0,0.0,0.0,7.5,17.5,4.5
0,143,0,True,False,False,1.0,0.0,0.0,0.0,0.0,32.5,32.5,1.5
0,144,0,True,False,False,0.0,0.0,0.0,1.0,0.0,11.0,7.5,15.0
0,145,0,True,False,False,0.0,0.0,0.0,1.0,0.0,11.0,12.5,27.0
0,146,0,True,False,False,1.0,0.0,0.0,0.0,0.0,42.5,27.5,4.5
0,147,0,True,False,False,1.0,0.0,0.0,0.0,0.0,32.5,17.5,1.5
0,148,0,True,False,False,1.0,0.0,0.0,0.0,0.0,32.5,22.5,4.5
0,149,0,True,False,False,1.0,0.0,0.0,0.0,0.0,42.5,22.5,4.5
